,League,Team,Country,Rating,Age,Years,AAV
Rosemary Griffin,Kazakhstan,Rudny,Germany,44.68796728651175,3,1,0.40000000000000013
Kathleen Flores,Finland,Jyvaskyla,Mexico,44.67190026638371,8,2,4.0
Donna Boudreau,Philippines,Bacoor,Ethiopia,44.66500955178242,10,3,2.1
John Marciano,Vietnam,Vung Tau,Japan,44.66351971410199,3,1,0.5
Larry King,Kuwait,Hawalli,Kuwait,44.661716449873296,8,1,3.8888888888888893
Russell Sukhu,Argentina,Buenos Aires,Germany,44.64926929377381,9,1,37.35
Laura Hilde,Kuwait,Al Ahmadi,Singapore,44.6172131699731,8,1,3.5
Eleanor Adams,Ireland,Tralee,Ireland,44.60667917860297,10,3,1.6666666666666667
Javier Miller,Ukraine,Kharkiv,Sweden,44.59939782007724,10,3,2.1999999999999993
Pauline Heagney,Vietnam,Buon Ma Thuot,France,44.58335060859962,3,1,0.5
Patrick Sandoval,Bangladesh,Rajshahi,United States,44.57492513275112,4,2,1.777777777777778
Carlton Wagner,Hong Kong,Fanling,Mexico,44.56275247390749,2,2,1.1999999999999997
Aaron Reddick,Argentina,Mar del Plata,United States,44.56114317475546,8,2,3.799999999999999
Lee Girman,Israel,Ramla,South Korea,44.56088633518566,4,3,1.866666666666667
Carl Ward,Kuwait,Fahaheel,Indonesia,44.54134754901359,3,1,0.24444444444444446
Mark Hinman,Romania,Brasov,United Kingdom,44.52891353810863,4,3,2.0
Deborah Press,Saudi Arabia,Khamis Mushait,Saudi Arabia,44.52381294908526,4,2,1.0
Betsy Patton,Pakistan,Quetta,Pakistan,44.503691273424984,2,2,1.1999999999999997
Scott Palmer,Colombia,Monteria,United States,44.487129272536976,3,1,0.40000000000000013
Daniel Crawford,Mexico,Naucalpan,Mexico,44.47351090411638,8,1,7.466666666666665
Carol Sheppard,Oman,Bahla,Czech Republic,44.47046252219034,3,1,0.4666666666666666
James Hill,Algeria,Tébessa,Sweden,44.45628177370416,3,1,0.29999999999999993
Aurelio Hardy,Hong Kong,Tseung Kwan O,China,44.42805860525054,4,3,2.0
John Mcginnis,Hungary,Miskolc,Hungary,44.42350967372973,2,2,0.8888888888888891
Susan Woods,Norway,Sarpsborg,Norway,44.41655083294662,10,3,1.7999999999999998
Carmen Tamburo,Turkey,Atasehir,Japan,44.37771207455833,4,3,1.8518518518518519
Linda Trujillo,Ethiopia,Debre Markos,France,44.369708125791625,3,1,0.40000000000000013
Robert Ginder,Singapore,Sengkang,United States,44.34742345579464,4,3,1.9555555555555553
Rupert Schrecengost,Netherlands,Groningen,France,44.32161045410937,9,1,8.4
Peggy Frasier,Algeria,Blida,Germany,44.29589700727596,2,2,1.1999999999999997
Kimberly Conlisk,Czech Republic,České Budějovice,Spain,44.29266897603021,4,3,2.0
Cheryl Ramirez,Thailand,Chiang Rai,Thailand,44.28934328045255,3,1,0.2
Jacquelyn Jackson,Czech Republic,Hradec Králové,Mexico,44.283413365424465,2,2,1.2000000000000002
Michael Mcbride,Bangladesh,Mymensingh,Spain,44.28230109149549,3,1,0.5
Linda Martinez,Netherlands,Enschede,Spain,44.23667706091609,8,2,3.9000000000000004
Jason Gibbons,Iraq,Samawah,Italy,44.214967569700654,3,1,0.40000000000000013
Linda Dupre,Brazil,Joao Pessoa,Brazil,44.20857707411689,7,3,1.4000000000000004
Cassaundra Jennings,Algeria,Médéa,Canada,44.206328702674526,3,1,0.40000000000000013
Richard Cea,Kenya,Garissa,Argentina,44.19560333288871,3,1,0.6666666666666666
Frank Roth,Australia,Mackay,Italy,44.19448777741122,7,3,1.6
Louise Duncan,Vietnam,Quy Nhon,Australia,44.18304276219237,3,1,0.5
Charles Martinez,Switzerland,Fribourg,Switzerland,44.15354815339972,4,3,1.5
Natasha Luna,Peru,Piura,Canada,44.105963191699644,4,3,2.0
Michael Karle,Romania,Arad,Mexico,44.09765259420365,6,3,2.0
Sophia Bonanno,Colombia,Manizales,United States,44.09505606787031,3,1,0.40000000000000013
Diane Brooks,Ukraine,Odessa,Italy,44.093085889290634,4,3,2.1333333333333333
Dale Ashby,Greece,Peristeri,Spain,44.06779939265186,2,2,1.4000000000000001
Anthony Bennett,Morocco,Agadir,United States,44.063712514081296,3,1,0.6666666666666667
Franklin Dixon,New Zealand,Rotorua,India,44.06044731630148,2,2,1.1999999999999997
Beverly Carter,Hong Kong,Kwai Chung,South Korea,44.00365671103069,4,3,1.866666666666667
Maria Varin,Greece,Kallithea,United States,43.99643402079311,3,1,0.40000000000000013
Janet Lefevre,New Zealand,Palmerston North,China,43.99569566129358,4,3,2.0
James Rios,Peru,Piura,Mexico,43.95844992102838,6,1,1.7999999999999998
Brenda Mogan,Kenya,Kisumu,France,43.950722175742484,6,1,1.3999999999999995
Susan Tyler,Bangladesh,Sylhet,Bangladesh,43.94585535915496,4,2,1.5555555555555554
Brenda Russell,Egypt,Suez,Egypt,43.93885801759564,4,3,1.6000000000000003
Shirley Scherer,Angola,Huambo,United States,43.93243143499594,4,3,1.8666666666666665
Emily Jondle,Czech Republic,Pardubice,Brazil,43.92042534217183,4,3,2.0
Edward Pinto,Chile,Talca,Argentina,43.9093081850609,3,1,0.6666666666666667
Karen Athey,Philippines,Makati,Poland,43.86779221092835,4,3,2.0
Marie Reyes,Ethiopia,Dire Dawa,Brazil,43.86588404729732,2,2,1.2000000000000002
Brandon Weeks,Portugal,Porto,United States,43.85885383475663,8,2,3.5999999999999996
Marie Mercado,Ecuador,Machala,China,43.85369373672413,3,1,0.4666666666666668
Kimberly Queen,Portugal,Funchal,India,43.83003206176417,5,2,1.5
Joel Hilton,Ecuador,Nueva Loja,Canada,43.825178893336634,3,1,0.4666666666666666
Christina Kuss,Qatar,Fereej Bin Mahmoud,United States,43.820547407164426,3,1,0.4666666666666666
Lilian Mccord,Portugal,Viseu,Canada,43.78376635298415,3,1,0.6666666666666667
Michael Rhine,South Africa,Welkom,Ireland,43.77325572573278,3,1,0.5
Aaron Ables,Ukraine,Lviv,Spain,43.765530165349894,4,3,2.0
Robert Selman,Czech Republic,Olomouc,Russia,43.763006795433256,10,3,2.0
Tina Lee,South Africa,Port Elizabeth,Greece,43.748456262793965,6,1,1.7999999999999998
Jillian Williams,Bangladesh,Tongi,Canada,43.726502307278174,3,1,0.40000000000000013
Eva Lyons,New Zealand,Masterton,United States,43.7167731688494,3,1,0.40000000000000013
Russ Crum,United Arab Emirates,Madinat Zayed,United Kingdom,43.70859513299128,3,1,0.20000000000000004
Ana Hicks,Romania,Bacau,India,43.70770624210113,4,3,2.0
Ranee Amyotte,Mexico,Hermosillo,Mexico,43.68272341870792,9,1,8.0
Bobby Utley,Oman,Khasab,France,43.668674009530235,3,1,0.4666666666666666
Thomas Wessel,Hong Kong,Ma On Shan,Austria,43.65808708312894,3,1,0.5
Angelic Ramirez,Sweden,Vasteras,United States,43.623263310940075,6,1,4.0
James Muldowney,Algeria,Batna,United States,43.60950964269794,2,2,1.1999999999999997
Randi Harris,Ethiopia,Dire Dawa,United States,43.590625109929185,4,3,2.0
Ellen Wesson,Saudi Arabia,Najran,Israel,43.58656172766484,2,2,1.0
Mari Mason,Kazakhstan,Semey,China,43.56727641901169,2,2,1.1999999999999997
Kia Oconnell,Greece,Volos,Spain,43.56543787405968,3,1,0.29999999999999993
Mayra Stankiewicz,Philippines,Imus,United Kingdom,43.54886970287238,4,3,2.0
Manuel Amundson,Qatar,Madinat Khalifa,Denmark,43.53554426001042,3,1,0.40000000000000013
Dana Bennett,Singapore,Serangoon,Singapore,43.50343310742243,4,2,1.7999999999999998
Michael Gunn,Iraq,Dohuk,China,43.49836281257309,3,1,0.40000000000000013
Kim Allen,Switzerland,Uster,Switzerland,43.48535088163853,8,2,2.6666666666666665
Luis Randolph,Ethiopia,Shashamane,Mexico,43.474157322605066,3,1,0.6
Pat Mcleod,Egypt,Aswan,Nigeria,43.473431242564125,3,1,0.40000000000000013
Karlene Monteagudo,Belgium,Liege,South Korea,43.46288914140712,8,2,5.051851851851853
Donna Ward,Ethiopia,Shashamane,Switzerland,43.420243410203575,2,2,1.4000000000000001
Michael Pink,Argentina,General Pueyrredon,France,43.4153596555879,8,2,4.666666666666667
Helen Klinger,Kenya,Machakos,Mexico,43.404008592365315,2,2,1.2000000000000002
Loretta Osborn,Colombia,Soacha,China,43.383350598801066,3,1,0.29999999999999993
Mary Adams,Australia,Geelong,Australia,43.38107010271408,4,3,1.6
Helen Patchell,Nigeria,Jos,Italy,43.3518814569953,5,2,1.5
Dennis Lockley,Angola,Malanje,France,43.34531705561639,3,1,0.2999999999999998
William Longsworth,Belgium,Kortrijk,Italy,43.34445702032255,8,2,3.6
Jannette Hobbs,Ukraine,Kherson,United Kingdom,43.33845123020589,3,1,0.29999999999999993
Samuel Cassiano,Peru,Chiclayo,India,43.332726841722796,4,3,2.0
Lance Shafer,Peru,Iquitos,France,43.33265435203771,10,3,2.0
Tina Carrillo,Saudi Arabia,Yanbu,United States,43.33217425687841,3,1,0.8888888888888888
Lawrence Nolan,Indonesia,Semarang,Indonesia,43.312420323863975,8,2,6.4222222222222225
Catherine Baca,Indonesia,Palembang,Indonesia,43.31130145545526,8,2,4.0
Danny Bates,Netherlands,Groningen,Netherlands,43.28998530420272,4,3,1.8000000000000007
Mary Barrette,Vietnam,My Tho,India,43.24285794544314,3,1,0.40000000000000013
Tiffany Macaraeg,Morocco,Sale,Morocco,43.24091662710407,4,2,1.866666666666667
Lydia Lovett,Philippines,Muntinlupa,United Arab Emirates,43.23724129658962,4,3,2.0
Ronald Lenk,Philippines,Makati,India,43.234773198129965,2,2,1.2000000000000002
Brian Hughes,Greece,Nikaia,Russia,43.19744063564875,3,1,0.40000000000000013
Christine Scrivens,Iraq,Hillah,Indonesia,43.196629152299145,3,1,0.6
Lydia Jones,Portugal,Loures,China,43.19204739140593,4,3,2.0
Veronica Cruz,Austria,Traun,Australia,43.17191732624153,3,1,1.0
Brian Kubo,Australia,Wollongong,Australia,43.16838397459017,8,2,3.6592592592592594
David Lama,Switzerland,Fribourg,India,43.15092149478288,11,2,4.3999999999999995
Irene Blackburn,Austria,Feldkirch,United Kingdom,43.144758074802574,3,1,0.5333333333333332
Jermaine Carreno,Argentina,Santiago del Estero,United Kingdom,43.110773529238415,8,2,4.05
Orlando Johnson,Kazakhstan,Aktau,Italy,43.07171884123672,2,2,1.4000000000000001
Todd Le,Portugal,Agualva-Cacem,Russia,43.06451123296393,4,3,2.0
Dani Lambert,Denmark,Kolding,France,43.06021074735829,4,3,1.866666666666667
Jeffrey Murphy,Portugal,Queluz,Spain,43.05416030840573,4,3,2.0
Samantha Holder,Singapore,Yishun,Singapore,43.04661456973655,8,2,3.333333333333334
Frank Stambaugh,Algeria,Béchar,Mexico,43.026054375705,3,1,0.40000000000000013
Connie Neff,Kuwait,Salwa,Australia,42.99505847710098,3,1,0.23333333333333334
Richard Jackson,Colombia,Villavicencio,Spain,42.99204329458859,2,2,1.4000000000000001
Claire Mcpeak,New Zealand,Palmerston North,New Zealand,42.98209115539169,2,2,1.0
David Wilson,Czech Republic,Hradec Králové,Mexico,42.97119979412189,10,3,2.0
Roderick Murphy,United States,Nashville,United States,42.96885137189899,9,1,6.355555555555554
Lila Cain,Morocco,Safi,Indonesia,42.95707162283939,3,1,0.6
Charmaine Martinez,Nigeria,Kaduna,United Arab Emirates,42.94767497013845,8,2,3.200000000000001
Rory Pond,Qatar,Fereej Abdul Aziz,Turkey,42.946282402507606,3,1,0.4666666666666666
Mary Hull,Saudi Arabia,Khurais,United Kingdom,42.9388300136528,3,1,0.6666666666666667
David Rivera,Nigeria,Onitsha,Nigeria,42.931504738340905,2,2,1.166666666666666
Lois Rumph,Czech Republic,České Budějovice,United Kingdom,42.929928248163144,2,2,1.2000000000000002
Phyllis Byrd,Netherlands,Eindhoven,United Kingdom,42.91664979563087,4,3,1.8000000000000007
Harris Powell,Slovakia,Nove Zamky,Germany,42.884558993477896,3,1,0.2999999999999998
Sandy Mason,Saudi Arabia,Al-Qatif,United Kingdom,42.88248134716633,7,3,1.8666666666666663
Socorro Stommes,Austria,Traun,Austria,42.85654364775418,2,2,1.0
Todd Serio,Morocco,Al Hoceima,Morocco,42.85404027646325,3,1,0.23333333333333334
Elizabeth Fabrizio,Hong Kong,Tseung Kwan O,South Korea,42.82826540067003,2,2,1.2000000000000002
Everette Estrada,Israel,Lod,China,42.81982016445109,8,2,2.666666666666667
Shirley Perkins,Netherlands,Rotterdam,India,42.81165844256042,9,1,11.111111111111109
Neil Obrien,Ukraine,Zaporizhzhia,United States,42.79530114027765,2,2,1.2000000000000002
Charles Fuller,Malaysia,Kuala Terengganu,France,42.781259180438624,4,3,1.866666666666667
Susan Wright,Colombia,Cartagena,Canada,42.78035717681516,2,2,1.0
Melissa Freeman,Czech Republic,Olomouc,Peru,42.74029147799657,6,1,1.7999999999999998
Joshua Mock,Kuwait,Jahra,Qatar,42.72504499936843,4,3,2.0
Steven Sanmiguel,United Arab Emirates,Sharjah,Germany,42.69659606697883,9,1,13.5
Maria Smith,Singapore,Geylang,Indonesia,42.687417262967976,3,1,0.6944444444444444
Richard Williams,Ecuador,Babahoyo,Japan,42.640615107717124,3,1,0.40000000000000013
Felice Guereca,Vietnam,Quy Nhon,Germany,42.627581576950085,3,1,1.0
Maria Everett,Turkey,Adana,Brazil,42.60855640797671,10,3,1.8000000000000007
Vanessa Hursh,Denmark,Frederiksberg,Ireland,42.595082823702754,6,1,1.6000000000000005
Sandra Peters,Angola,Dundo,Canada,42.5393110263808,3,1,0.4666666666666666
Kristina Hernandez,Portugal,Braga,Hong Kong,42.5319249588252,8,2,4.5
Sharon Bailey,Thailand,Songkhla,Nigeria,42.524004524416995,3,1,0.4000000000000001
Quincy Dooley,Iraq,Karbala,India,42.49802231783864,3,1,0.6
Belinda Kryst,Russia,Tyumen,Russia,42.48643254061741,9,1,8.1
Rodney Reed,Ireland,Drogheda,Indonesia,42.4807809008309,8,2,3.2
Ken Hernandez,Indonesia,Pekanbaru,France,42.47623056920324,9,1,7.666666666666667
Thora Gibson,Kazakhstan,Aktobe,Japan,42.46640159131087,2,2,1.2000000000000002
Sandra Titus,Kuwait,Rumaithiyya,Singapore,42.445189107381566,3,1,0.4666666666666666
Donald Tyson,Brazil,Goiania,Brazil,42.423451982780236,8,1,2.6000000000000014
Maurice Jones,Romania,Constanta,Indonesia,42.41762111744615,5,2,1.4666666666666668
Ronald York,Angola,Lucapa,United States,42.41501422758228,3,1,0.23333333333333334
Linda Nixon,Iraq,Baqubah,United States,42.413663096285035,3,1,0.6
Mary Wilkinson,Hungary,Szekesfehervar,Ireland,42.39488668712272,3,1,0.6
Dale Randall,Ethiopia,Arba Minch,United Kingdom,42.394847046097915,3,1,0.40000000000000013
Donald Hoffman,Italy,Brescia,Italy,42.39441703074646,9,1,10.0
Patricia Lautman,Brazil,Campinas,South Korea,42.38995974178691,9,1,10.0
Betty Page,Egypt,El-Mahalla El-Kubra,South Korea,42.37764261188954,3,1,0.5
Donovan Westerfield,Hong Kong,Wan Chai,Russia,42.376714067228384,3,1,1.0
Sergio Russell,Russia,Perm,Philippines,42.363880110976126,11,2,3.833333333333332
Kevin Teske,Qatar,West Bay,Japan,42.317522241168994,3,1,0.23333333333333334
Wallace Betancourt,Saudi Arabia,Khurais,Saudi Arabia,42.31569237602709,2,2,0.5
Cameron Hunstad,Norway,Tonsberg,Norway,42.30732648964694,4,2,1.3333333333333335
Jacob Bagley,Netherlands,Eindhoven,Netherlands,42.27336905741859,9,1,8.1
Clara Morrison,Chile,Copiapó,Philippines,42.262736679081726,3,1,0.2999999999999998
Edna Combs,Israel,Bnei Brak,Indonesia,42.24442524744743,10,3,1.8000000000000007
Nelda Thornton,Turkey,Sisli,Turkey,42.22786927216978,2,2,1.0
Zachary Bourne,Portugal,Barreiro,France,42.22649422350322,4,3,2.0
Cathy Rust,Ecuador,Santo Domingo,United States,42.22048407155931,10,3,2.0
Charles Popp,Greece,Ioannina,India,42.15376932428706,3,1,0.40000000000000013
Joe Penny,Argentina,Almirante Brown,Singapore,42.15337959654047,8,2,5.0
Stella Kuzma,New Zealand,Tauranga,India,42.11574360150947,5,2,1.5
Larry Morton,Philippines,Parañaque,Philippines,42.06923511240988,5,2,1.3333333333333335
Micheal Boone,Qatar,Lusail,South Korea,42.06544895474598,3,1,0.6666666666666667
Kelly Piirto,Israel,Lod,Israel,42.04882938683826,2,2,0.8888888888888891
Andrew Chalmers,New Zealand,Nelson,Italy,42.045060519069054,2,2,1.1999999999999997
Don Greenwood,Iraq,Ramadi,India,42.04081572891453,3,1,0.6
Wayne Walker,Algeria,El Oued,Norway,42.04034503188942,3,1,0.40000000000000013
Jonnie Runge,Poland,Sosnowiec,United States,42.01790493075195,10,2,2.2222222222222223
Mary Hill,Belgium,Kortrijk,Belgium,42.01371176953379,10,3,1.7999999999999998
Jason Brixey,New Zealand,Hamilton,United Kingdom,42.00783348320905,7,3,1.6666666666666665
Nancy Herrera,Greece,Volos,Japan,41.966032144281556,5,2,1.4000000000000001
Frances Wood,Switzerland,Koniz,France,41.943196206335145,4,3,1.8
Phyllis Johnson,Kazakhstan,Semey,India,41.93843032726833,3,1,0.6666666666666667
Julia Barr,Israel,Holon,China,41.90099669598788,9,1,8.4
Jackson Pace,Thailand,Nakhon Pathom,Thailand,41.896375277451085,3,1,0.4000000000000001
Paul Capel,Hong Kong,Tuen Mun,Japan,41.88242281753503,7,3,1.866666666666667
Alanna Biffle,Portugal,Loures,United Kingdom,41.84268908592667,2,2,1.2000000000000002
Nathan Martinez,Bangladesh,Tangail,United Kingdom,41.84122911494628,3,1,0.4666666666666666
Sheila Pierce,Hungary,Szekesfehervar,Peru,41.805319149812746,3,1,0.29999999999999993
William Goulet,Israel,Modi'in,India,41.779514158493285,4,3,1.7999999999999998
Calvin Sadan,Turkey,Konya,Australia,41.749556887920264,9,1,4.333333333333333
Douglas Baez,Hungary,Bekescsaba,Hungary,41.74816553213743,3,1,0.40000000000000013
Elizabeth Brown,Romania,Ploiesti,France,41.73633650067496,8,2,2.6666666666666665
Florence Smith,Poland,Gdynia,Poland,41.72740952439164,7,3,1.4666666666666668
Frances Johnson,Portugal,Almada,India,41.719917724006194,8,2,3.9000000000000004
Marcia Reier,Singapore,Pasir Ris,Greece,41.69258581585394,7,3,1.7333333333333334
Michael Branch,Oman,Bidbid,United Kingdom,41.69161791553514,3,1,0.33333333333333337
Isaias West,Finland,Kuopio,Indonesia,41.66629634028205,8,2,3.0
Tarsha Starnes,Iraq,Ramadi,Germany,41.64433711069159,3,1,0.29999999999999993
Mark Sherlock,Denmark,Herning,Japan,41.634528940565936,10,3,1.866666666666667
Alfredo Soffer,Israel,Holon,Italy,41.62932806844481,4,3,1.8000000000000007
Vincent Streett,Hong Kong,Tai Po,Mexico,41.628824254224995,7,3,1.666666666666667
Albert Thompson,Oman,Saham,United Kingdom,41.616316570198244,3,1,0.2
Loraine Correia,South Korea,Bucheon,South Korea,41.59872341617934,11,2,4.0
Gladys Senethavilouk,Sweden,Huddinge,Italy,41.576345753941546,11,2,5.133333333333334
Joe Mudget,Turkey,Kahramanmaras,Japan,41.57255038228974,10,3,1.8
Isabell Bell,Greece,Chalcis,Saudi Arabia,41.54749824509197,3,1,0.40000000000000013
Beverly Anglin,Brazil,Recife,Mexico,41.54124483773408,11,2,5.28888888888889
Judy King,Netherlands,Haarlem,Japan,41.53521782785668,8,2,3.9000000000000004
Gilbert Norvell,Turkey,Diyarbakir,New Zealand,41.53117259492896,10,3,1.7777777777777781
Mary Shedlock,Bangladesh,Savar,United States,41.513947225836574,2,2,1.1999999999999997
Ruth Brown,Argentina,Tucuman,United States,41.485776493430585,9,1,6.600000000000001
Arturo Griest,Kuwait,Al-Mangaf,Germany,41.459141977444496,3,1,0.4666666666666666
Mary Burke,Ukraine,Zaporizhzhia,France,41.45492911299991,4,3,2.0
Frank Mancha,Vietnam,Hue,Brazil,41.45007522994458,3,1,1.0
Lisa Salazar,Oman,Sur,United States,41.43262839919272,5,2,1.4000000000000001
Patricia Weidler,Colombia,Barranquilla,United Kingdom,41.424634627001005,4,3,2.0
Carla Ogle,Argentina,Florencio Varela,Greece,41.40712713344649,8,1,4.0
Margaret Campbell,Kenya,Kitale,United Kingdom,41.406509828032426,3,1,0.33333333333333337
David Ford,Angola,Cazombo,Germany,41.39468224413877,3,1,0.4666666666666666
Kayla Wallace,Egypt,Minya,China,41.391149481257024,3,1,0.40000000000000013
Sara Monske,Philippines,Valenzuela,Italy,41.38998766335431,7,2,2.6666666666666665
Tara Sartor,Vietnam,Rach Gia,Vietnam,41.37824550908103,3,1,0.2
Shanelle Crumpton,Algeria,Sidi Bel Abbes,Ireland,41.33610535875769,3,1,0.2999999999999998
Theron Hanson,Denmark,Horsens,United States,41.33249618939345,4,3,1.866666666666667
Mary Weston,Denmark,Silkeborg,Italy,41.330559797956894,4,3,1.866666666666667
Roger Jamison,Denmark,Randers,Canada,41.29909440128399,7,3,1.866666666666667
Jared Frey,Denmark,Viborg,India,41.26933305475921,4,3,1.866666666666667
Irma Webb,Kuwait,Sabah Al-Salem,Norway,41.25986199782432,3,1,0.23333333333333334
Jessica Garay,United Arab Emirates,Al Hamriyah,South Korea,41.20371550612755,3,1,0.25
Lillian Snell,Kazakhstan,Kostanay,South Korea,41.19063673417917,2,2,1.2000000000000002
Robyn Cote,Ecuador,Riobamba,Egypt,41.17529756827889,3,1,0.40000000000000013
Karen Pierce,Netherlands,Leiden,Netherlands,41.16720636000379,5,2,1.0
Helen Antonelli,Greece,Heraklion,Russia,41.165819832485205,2,2,1.4000000000000001
Arthur Allen,Algeria,Bejaia,Singapore,41.16376047031089,2,2,1.4000000000000001
Carrie Sturgeon,Nigeria,Asaba,United States,41.15607416740367,10,3,1.666666666666667
David Murray,Brazil,Joao Pessoa,Brazil,41.11199962881412,8,1,2.333333333333334
Emily Collins,Czech Republic,Havirov,Czech Republic,41.10492490862022,2,2,1.0
Robert Baty,Kenya,Malindi,South Korea,41.08168553749199,3,1,0.33333333333333337
Jerry Jones,Romania,Targu Mures,United Kingdom,41.077597038510106,4,3,1.6666666666666667
Faustino Clower,Kenya,Wajir,Japan,41.06912569541363,3,1,0.40000000000000013
Phyllis Cooper,Malaysia,Kuantan,United Kingdom,41.06482141344282,10,3,1.866666666666667
Lucinda Elliot,Peru,Pucallpa,France,41.05723279529637,3,1,0.2999999999999998
Kevin Goldberg,New Zealand,Blenheim,Brazil,41.05611370052518,3,1,0.40000000000000013
Rachel Schulz,Ecuador,Loja,China,41.02627741198579,2,2,1.4000000000000001
Javier Yanez,South Africa,Krugersdorp,Austria,41.02417707187106,3,1,0.5
Jeff Burke,Czech Republic,Liberec,France,40.978526779064715,4,3,1.866666666666667
Joseph Walker,Singapore,Pasir Ris,Singapore,40.926522432301134,2,2,0.7999999999999998
Joan Johnson,Hungary,Szombathely,United States,40.914824096814215,2,2,1.4000000000000001
Gloria Clark,Ukraine,Chernihiv,Switzerland,40.885716050702946,3,1,0.2666666666666666
Amber Hubbard,Saudi Arabia,Najran,France,40.87520177331736,4,3,1.6666666666666667
Edward Lee,Nigeria,Abeokuta,United Arab Emirates,40.86347207620036,4,3,1.666666666666667
Jamie Tatel,Chile,Iquique,France,40.85941046551701,3,1,0.6666666666666667
Marie Bardo,Greece,Agios Dimitrios,United States,40.8507687426855,3,1,0.40000000000000013
Adam Baima,Ireland,Portlaoise,India,40.84321664570134,4,3,1.6666666666666667
Beverly Schneider,Colombia,Villavicencio,France,40.82314551454382,3,1,0.29999999999999993
Johnnie Branham,Ecuador,Ambato,India,40.777062393204794,2,2,1.2000000000000002
Leticia Hilton,Netherlands,Arnhem,Japan,40.694606176478246,11,2,3.9000000000000004
Thelma Smith,United Kingdom,Leicester,China,40.69130810187963,11,2,5.333333333333334
Ida Salazar,Egypt,Shubra El Kheima,France,40.67603802014,2,2,0.7
Ryan Cantu,Ireland,Ennis,Spain,40.605706054283765,10,3,1.6666666666666667
Devin Moore,Ireland,Balbriggan,Brazil,40.59996309219967,10,3,1.6666666666666667
Jeanne Mcclure,Thailand,Samut Prakan,Thailand,40.56638060226712,11,2,2.5999999999999996
Dennis Ford,Vietnam,Bac Ninh,United Kingdom,40.48614883662916,3,1,0.5
Thomas Duncan,Greece,Rhodes,Canada,40.47291411269856,3,1,0.40000000000000013
Tim Seaton,Ecuador,Nueva Loja,China,40.455434543982925,3,1,0.23333333333333334
Bridget Bravo,France,Saint-Etienne,France,40.4357056802303,9,1,3.700000000000003
William Mazzone,Slovakia,Michalovce,France,40.39143650794923,3,1,0.29999999999999993
Alfred Stenberg,Kenya,Kericho,Netherlands,40.390495955004305,3,1,0.40000000000000013
Rebekah Burgin,United Arab Emirates,Khalifa City,Indonesia,40.3814178905117,8,2,3.111111111111111
Nelson Sparks,Chile,Valdivia,India,40.363146558466696,5,2,1.4000000000000001
Ronald Blanchard,Poland,Bydgoszcz,Japan,40.34719126056155,9,1,7.933333333333334
Eva Branco,Saudi Arabia,Hafar Al-Batin,Israel,40.34598126832359,4,3,1.6666666666666667
Stacey Roberts,Oman,Nizwa,Spain,40.33749808784039,3,1,0.6
Maria Sykes,Ireland,Newbridge,Germany,40.3353720637336,10,3,1.6666666666666667
Danica Mcray,Czech Republic,Frydek-Mistek,South Korea,40.327672666399735,2,2,1.1999999999999997
Tracy Woosley,Ireland,Naas,United States,40.3156640122249,9,3,1.6666666666666667
James Victoria,Ukraine,Kharkiv,Italy,40.30483846793982,11,2,4.4
Irving Fitzsimmons,New Zealand,Hamilton,United States,40.295861036420554,5,2,1.666666666666666
James Wolfe,Kenya,Meru,Argentina,40.29248320387085,3,1,0.6666666666666666
Robert Sedillo,Belgium,Charleroi,Qatar,40.276940984922945,9,1,6.900000000000002
Hazel Milligan,Morocco,Safi,Japan,40.274145912570965,2,2,1.4000000000000001
Geraldine Sobers,Sweden,Vasteras,India,40.257958333945346,8,2,3.5999999999999996
Rosa Finn,Romania,Pitesti,Spain,40.250701200851644,2,2,1.2000000000000002
Oneida Schroder,Oman,Rustaq,Norway,40.21490600702994,3,1,0.40000000000000013
Prudence Ciprian,Ukraine,Poltava,India,40.19490652759999,2,2,1.4000000000000001
Haywood Jaimes,Austria,Amstetten,Canada,40.18929442567226,3,1,0.5
Maxine Gonzales,Norway,Lillehammer,Japan,40.17014293683778,4,3,1.6666666666666667
Ben Meeks,Ireland,Carlow,Germany,40.14757984099252,4,3,1.6666666666666667
James Holguin,Netherlands,Breda,Netherlands,40.09049787266033,8,2,3.0
Ida Pacheco,United Arab Emirates,Kalba,United States,40.07827203819691,3,1,0.33333333333333337
Walter Rutter,Algeria,Oran,Algeria,40.06445095843247,11,2,4.799999999999999
Carolyn Campbell,Oman,Sohar,China,40.05703196910296,10,3,1.866666666666667
Michael Clewis,Norway,Stavanger,Belgium,40.05379954994978,11,2,13.2
Youlanda Delgado,Singapore,Punggol,Singapore,40.04738899665711,10,3,1.5
Cleo Irvine,Kazakhstan,Astana,Canada,40.01926976823315,7,3,1.7111111111111108
Joseph Schenkel,Brazil,Recife,United Kingdom,40.01190353717213,9,1,5.600000000000001
Brian Philip,Colombia,Soacha,China,39.980873221879186,3,1,0.6
Cynthia Clevenger,Romania,Oradea,United Kingdom,39.95284466258819,2,2,1.333333333333333
Murray Morrison,Egypt,Beni Suef,Russia,39.944225430625,3,1,0.4000000000000001
Robert Brain,Slovakia,Spišská Nová Ves,Argentina,39.941900905434174,2,2,1.4000000000000001
Andrew Babcock,Peru,Huancayo,China,39.92930087822959,7,3,1.6666666666666667
Luis Wheeler,Angola,Huambo,Belgium,39.92493281531668,6,1,1.3999999999999995
Terry Nguyen,Colombia,Pereira,France,39.91159542827081,3,1,0.6
